event_id,start_time,end_time,duration_minutes,min_margin_level,min_margin_time,max_used_margin,min_free_margin,max_floating_loss,worst_threshold_crossed,thresholds_crossed,largest_used_margin_contributor,largest_used_margin_contribution_pct,EURUSD_open_positions_at_min,GBPUSD_open_positions_at_min,USDCHF_open_positions_at_min
evt_1740553200_150,2025-02-26 07:00:00,2025-02-27 15:45:00,1965,225.33,2025-02-26 19:15:00,7048.75,8834.21,-2313.93,300.0,300,EURUSD,48.97,3,1,3
evt_1740672000_151,2025-02-27 16:00:00,2025-02-27 18:00:00,120,240.87,2025-02-27 16:15:00,7027.87,9900.09,-1279.24,300.0,300,EURUSD,48.71,3,1,3
evt_1741795200_152,2025-03-12 16:00:00,2025-03-12 17:15:00,75,280.06,2025-03-12 16:00:00,6350.22,11431.93,-876.62,300.0,300,EURUSD,38.43,2,1,3
evt_1741878000_153,2025-03-13 15:00:00,2025-03-13 15:45:00,45,278.99,2025-03-13 15:15:00,6540.81,11707.4,-484.06,300.0,300,GBPUSD,51.48,2,2,1
evt_1742378400_154,2025-03-19 10:00:00,2025-03-19 10:30:00,30,261.5,2025-03-19 10:15:00,7107.18,11478.34,-410.42,300.0,300,GBPUSD,72.13,1,3,1
evt_1742496900_155,2025-03-20 18:55:00,2025-03-21 18:45:00,1430,237.69,2025-03-21 18:00:00,7884.38,10846.92,-545.65,300.0,300,GBPUSD,64.84,1,3,2
evt_1746795006_156,2025-05-09 12:50:06,2025-05-09 13:00:00,9,281.03,2025-05-09 13:00:00,7155.16,12953.19,-1648.19,300.0,300,EURUSD,60.66,3,1,1
evt_1746798602_157,2025-05-09 13:50:02,2025-05-09 14:00:00,9,281.0,2025-05-09 13:50:02,7159.13,12949.06,-1668.75,300.0,300,EURUSD,60.68,3,1,1
evt_1747047600_158,2025-05-12 11:00:00,2025-05-13 17:45:00,1845,203.58,2025-05-12 13:30:00,8029.92,8277.02,-5695.76,300.0,300,EURUSD,53.5,3,1,2
evt_1747159200_159,2025-05-13 18:00:00,2025-05-14 11:00:00,1020,247.52,2025-05-13 18:00:00,7450.34,10957.04,-3444.81,300.0,300,EURUSD,77.56,4,0,2
evt_1747252800_160,2025-05-14 20:00:00,2025-05-14 21:00:00,60,242.04,2025-05-14 21:00:00,7835.48,11108.76,-2934.92,300.0,300,EURUSD,73.72,4,1,0
evt_1747266300_161,2025-05-14 23:45:00,2025-05-15 00:00:00,15,286.78,2025-05-14 23:45:00,6599.64,12325.5,-2965.74,300.0,300,EURUSD,87.37,4,0,1
evt_1747275301_162,2025-05-15 02:15:01,2025-05-15 03:30:00,74,288.63,2025-05-15 03:00:00,6605.57,12452.56,-2838.93,300.0,300,EURUSD,87.38,4,0,1
evt_1747294801_163,2025-05-15 07:40:01,2025-05-15 07:45:00,4,294.35,2025-05-15 07:45:00,6608.15,12841.72,-2458.89,300.0,300,EURUSD,87.41,4,0,1
evt_1747303200_164,2025-05-15 10:00:00,2025-05-15 16:00:00,360,224.28,2025-05-15 14:00:00,8669.73,10769.06,-2838.54,300.0,300,EURUSD,66.66,4,1,1
evt_1747330800_165,2025-05-15 17:40:00,2025-05-16 07:45:00,845,287.62,2025-05-15 21:15:00,6608.04,12370.0,-3045.99,300.0,300,EURUSD,87.43,4,0,1
evt_1747383300_166,2025-05-16 08:15:00,2025-05-16 08:15:00,0,299.26,2025-05-16 08:15:00,6608.72,13168.44,-2212.44,300.0,300,EURUSD,87.5,4,0,1
evt_1747392300_167,2025-05-16 10:45:00,2025-05-16 12:00:00,75,296.88,2025-05-16 11:45:00,6609.05,13005.57,-2378.19,300.0,300,EURUSD,87.48,4,0,1
evt_1747398600_168,2025-05-16 12:30:00,2025-05-16 15:00:00,150,224.38,2025-05-16 13:00:00,8670.95,10773.5,-2551.59,300.0,300,EURUSD,66.66,4,1,1
evt_1747414800_169,2025-05-16 17:00:00,2025-05-19 01:00:00,3360,273.78,2025-05-16 19:00:00,6601.77,11431.65,-4019.91,300.0,300,EURUSD,87.36,4,0,1
evt_1747622700_170,2025-05-19 02:45:00,2025-05-19 04:30:00,105,291.25,2025-05-19 04:30:00,6604.29,12617.64,-2746.77,300.0,300,EURUSD,87.46,4,0,1
evt_1747629300_171,2025-05-19 04:35:00,2025-05-19 09:30:00,295,289.19,2025-05-19 04:45:00,6609.64,12477.15,-2905.26,300.0,300,EURUSD,87.44,4,0,1
evt_1747648800_172,2025-05-19 10:00:00,2025-05-19 10:00:00,0,231.09,2025-05-19 10:00:00,8679.89,11378.88,-1915.65,300.0,300,EURUSD,66.68,4,1,1
evt_1751058000_173,2025-06-27 21:00:00,2025-07-02 15:30:00,6870,187.02,2025-07-02 04:15:00,11410.65,9928.24,-4880.61,200.0,"300,200",GBPUSD,43.39,2,2,3
evt_1751544000_174,2025-07-03 12:00:00,2025-07-04 07:45:00,1185,252.99,2025-07-03 13:30:00,8923.01,13649.0,-3402.6,300.0,300,EURUSD,41.26,2,1,3
evt_1751972400_175,2025-07-08 11:00:00,2025-07-10 17:15:00,3255,262.93,2025-07-10 03:15:00,8918.12,14491.82,-2708.61,300.0,300,EURUSD,41.2,2,1,3
evt_1753234501_176,2025-07-23 01:35:01,2025-07-23 17:00:00,924,290.65,2025-07-23 02:00:00,8728.82,16628.55,-1540.19,300.0,300,GBPUSD,56.64,1,2,2
evt_1755014400_177,2025-08-12 16:00:00,2025-08-12 16:30:00,30,250.37,2025-08-12 16:15:00,10116.3,15198.25,-2252.72,300.0,300,GBPUSD,51.3,1,2,3
evt_1755165600_178,2025-08-14 10:00:00,2025-08-14 11:45:00,105,247.67,2025-08-14 10:00:00,10147.52,14984.95,-2493.89,300.0,300,GBPUSD,51.55,1,2,3
evt_1755187200_179,2025-08-14 16:00:00,2025-08-21 18:00:00,10200,199.41,2025-08-18 11:30:00,12780.36,12695.52,-2354.66,200.0,"300,200",GBPUSD,61.51,1,3,3
